id,fname,lname,email,password,lastLogin,isVerified,refreshToken,resetPasswordToken,resetPasswordExpires,verificationToken,verificationTokenExpires,providerId,provider,role,country,state,city,phoneNo,dob,institute,type,major,field,grade,startYear,endYear,degree,specialization,experience,bio,intro,skills,gender,marks,socialAccounts
135cb216-3151-4586-ac7a-edef72b03af1,betty,humphrey,betty.humphrey@gmail.com,$2b$10$FZ5SXhZNYz6Ln4LENWDRyesNV/g8L37VR5CjFORnXFjXOMw9Fzuae,13/03/2025 6:21,TRUE,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiIxMzVjYjIxNi0zMTUxLTQ1ODYtYWM3YS1lZGVmNzJiMDNhZjEiLCJlbWFpbCI6ImJldHR5Lmh1bXBocmV5QGdtYWlsLmNvbSIsInJvbGUiOiJFbmdpbmVlciIsImV4cCI6MTc0Njg2NDA3Nn0.GX18MshfyR4YT6XwS-nU2jac_Ruj-CQ6CypWuSb746X1ipKVSW8IE_vqsW0_yqlPh3BzPsUCRr6IOFBTjXJvrZezEXrOBVafVYewTeq5fRC1E4RYMxzC1mIdLQ7wkdGTdLl-LD4YDNEql_v5NHK9LHmA_I2_coo7t1AuBuS1tx4vWR9JkdC7eVRrutwTfJ5DZBdy7kmkFZbB39d86I7Gd60sd5HCntMWgfSgcPmvBfF_OY8-3Uym57fWayZIBQl7o1ODDyyAgzIaDHqcDmiECVr98nUcbDCrbVHgwUTr5Y1C_kxyLwWPQSyOKQUx3iIaUgCTrIaKnyFROz2sWdMyLQ,,,,,,LOCAL,Engineer,Germany,Bavaria,Munich,+49 1523 4567890,17/10/1980,Rutgers UniversityNew Brunswick,CERTIFICATION,Robotics,Robotics,B,2008,2011,Robotics,Input Validation / Sanitization,10,Passionate software engineer with expertise in cloud computing and microservices.,"Hi, I'm a tech enthusiast working on innovative solutions.","['Microservices Architecture', 'JavaScript', 'Web Development', 'Blockchain', 'Cloud Security', 'SQL', 'Automation Testing', 'Cryptography', 'Negotiation', 'Problem-Solving', 'Team Collaboration', 'Azure', 'Cloud Computing', 'Time Management', 'ETL Processes']",Male,69.27671009,"{""linkedin"": ""https://linkedin.com/in/betty_humphrey""}"
cbf5b338-0a76-4bee-9c1a-db9536fafbde,sharon,wright,sharon.wright@gmail.com,$2b$10$FZ5SXhZNYz6Ln4LENWDRyesNV/g8L37VR5CjFORnXFjXOMw9Fzuae,29/01/2025 7:22,TRUE,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjYmY1YjMzOC0wYTc2LTRiZWUtOWMxYS1kYjk1MzZmYWZiZGUiLCJlbWFpbCI6InNoYXJvbi53cmlnaHRAZ21haWwuY29tIiwicm9sZSI6IkVuZ2luZWVyIiwiZXhwIjoxNzQ2ODY0MDc2fQ.Fbi6iCikLh61jfKA4TtEd9EIuvgU6XZzf2aAUs9lmgwtGlhWB3959ZpW1Shtqnvmxq_UR7bf7SZuANQ2K5BcNdBuDp9x_DATM3u90rIWRn1CtAIs0ey_FGIeL5j_B94sVYvdqeINjfd3ni3FUvEoy9KdkzkmwaZkjLKQHUec6RxaKhTJa6o-OPcNMfX7kNk_AfLCr00W5dy7OM29DUHi9n_sQHHO-vVwttH7HSsNu7g-D4Jmap_Z9ZUqd3tmdGlE1xU6aYQW3JZ9gPsLI3vg2xgLC7UN1Z6ozymQwUnq93p0hCmVyMsQtUp6CQqEpcMpCYutk_mLw-LSJc2j1y1_TA,,,,,,LOCAL,Engineer,Canada,Ontario,Hamilton,+1 416-987-6543,29/05/1997,Sejong University,DIPLOMA,Information Technology,Information Technology,B,2010,2013,Information Technology,SMS / Push Notifications,9,Passionate software engineer with expertise in cloud computing and microservices.,"Hi, I'm a tech enthusiast working on innovative solutions.","['ETL Processes', 'Cybersecurity', 'NoSQL', 'Leadership', 'Mentorship', 'Tableau', 'Machine Learning', 'System Administration', 'Frontend Design', 'Negotiation', 'C#', 'Azure']",Male,3.236807439,"{""linkedin"": ""https://linkedin.com/in/sharon_wright""}"
e349b663-b875-4efd-a938-8c71656f414a,randall,rodgers,randall.rodgers@gmail.com,$2b$10$FZ5SXhZNYz6Ln4LENWDRyesNV/g8L37VR5CjFORnXFjXOMw9Fzuae,10/02/2025 2:37,TRUE,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJlMzQ5YjY2My1iODc1LTRlZmQtYTkzOC04YzcxNjU2ZjQxNGEiLCJlbWFpbCI6InJhbmRhbGwucm9kZ2Vyc0BnbWFpbC5jb20iLCJyb2xlIjoiRW5naW5lZXIiLCJleHAiOjE3NDY4NjQwNzZ9.OqtaUpTTHs_L5xkmolDTMmC6cgGFMfaf2nYy1AkhUAcOfC_5j-rWxtO4FG_ddcFx1zK-BeyyB-aw5g567idmEVEsYoPlVqOXDcT_6SUCDa8LqbSz07BCeBTaPITifwVg76UR1isZI1ALRXZILS4uexX2QLCN9YE1khVk-KubuHrwrmWZ-U0RPDRyXvSrMmgO0oZ1sjM48W8kVgeAHoU26HQaVyt5LWUBA_E_JSgRm_nHCed7Xip6FSELkLqbwWgu3bbPwtFIovtMZg5U4iCeymsauRP3UTe-RvUIwUgH1zC4EuVRMFsQliOAMWfM8YTbvGcXmah7VVGjwDH9xi3_LA,,,,,,LOCAL,Engineer,Germany,Berlin,Berlin,+49 171 2345678,07/07/1980,Aalborg University,CERTIFICATION,Information Technology,Information Technology,A-,2006,2009,Information Technology,Microservices,16,Passionate software engineer with expertise in cloud computing and microservices.,"Hi, I'm a tech enthusiast working on innovative solutions.","['System Administration', 'Blockchain', 'Automation Testing', 'Excel', 'Python', 'DevOps', 'Frontend Design', 'Data Science', 'Cloud Security', 'Kubernetes', 'Microservices Architecture', 'Penetration Testing', 'Big Data Analytics', 'Data Visualization', 'Google Cloud Platform']",Male,3.99029341,"{""linkedin"": ""https://linkedin.com/in/randall_rodgers""}"
112cd2e2-4fcb-460f-b272-ff5bdc647b57,michelle,smith,michelle.smith@gmail.com,$2b$10$FZ5SXhZNYz6Ln4LENWDRyesNV/g8L37VR5CjFORnXFjXOMw9Fzuae,13/03/2025 0:43,TRUE,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiIxMTJjZDJlMi00ZmNiLTQ2MGYtYjI3Mi1mZjViZGM2NDdiNTciLCJlbWFpbCI6Im1pY2hlbGxlLnNtaXRoQGdtYWlsLmNvbSIsInJvbGUiOiJFbmdpbmVlciIsImV4cCI6MTc0Njg2NDA3Nn0.pvlb0H-liLSTTli_2CJvHu5ZkNvAijPMgyOEjUKglt_kTAsqDdEUv-xzh-F_hrY7US4LzaAXB0OoZpW2gXOZjpVjLuq2_1ZgaiKPX4VldMMYtOvx1gFKSL8eFj4tx0LnrxoApUeXAYmnFSnKihlsMoNizOE57bDbOgeaSSwH3rny9HkEje_OAXnBIEsmqbtomyCQ-NhspydODjrSpME7qzfjEMapAVEWMxykVK6sDcBaBW_gdfT75JciPM3K38eA4Fquri3PeSi1WZLLzkZIkvfWKpbDzKuBmNWDAm849TxzT4vVpqd7FYSX5LZ8OERF1jvxpql_bY42U97IPH6oGg,,,,,,LOCAL,Engineer,Canada,British Columbia,Victoria,+1 604-765-4321,11/12/1999,Indiana University Bloomington,DIPLOMA,Software Engineering,Software Engineering,B,2018,2021,Software Engineering,Hardware / Embedded,7,Passionate software engineer with expertise in cloud computing and microservices.,"Hi, I'm a tech enthusiast working on innovative solutions.","['Version Control (Git)', 'Cloud Computing', 'Power BI', 'C#', 'Backend Development', 'DevOps', 'Communication', 'Database Administration', 'Ethical Hacking', 'JavaScript', 'Agile Methodologies', 'Threat Analysis', 'NoSQL', 'JIRA', 'System Administration']",Male,2.899331031,"{""linkedin"": ""https://linkedin.com/in/michelle_smith""}"
b9b63b35-3338-44ed-9cfb-68793ed06644,steven,pitts,steven.pitts@gmail.com,$2b$10$FZ5SXhZNYz6Ln4LENWDRyesNV/g8L37VR5CjFORnXFjXOMw9Fzuae,01/02/2025 8:50,TRUE,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJiOWI2M2IzNS0zMzM4LTQ0ZWQtOWNmYi02ODc5M2VkMDY2NDQiLCJlbWFpbCI6InN0ZXZlbi5waXR0c0BnbWFpbC5jb20iLCJyb2xlIjoiRW5naW5lZXIiLCJleHAiOjE3NDY4NjQwNzZ9.nghz_OyMCiZmf43Vbyz3ECv575wVU-dqYfdbBLQn784qu5CIOwRsgKFMRCve4rE0B5gAXroH95T0DzxN2fA0u_ssr2T2VKlfJSMooePBah2PoBDvPTzLw2eEXF6VNA6PLEdYBrURPrJJDCdRbbiXIYMEK-cpSbjOMn6qPs6pfzey9InP0ALzT0SRQ5q1rlcuzMrJlfX2mGOss37NyeqKUlcUpm_kHB0gzEUnqwqkj3DINxvp7f7-HeekoIWz1tvmzL6MCW0INBxRM_F_sqeXKshaaJ4uHrI2CfTwIX3cuUioDRHgWMGb_nGbZhURk0PvIceuGA9L_zn9u1bF3gY_-A,,,,,,LOCAL,Engineer,Canada,Quebec,Quebec City,+1 780-321-6789,02/08/1981,Queen's University at Kingston,PHD,Information Technology,Information Technology,B,2019,2022,Information Technology,Hardware / Embedded,7,Passionate software engineer with expertise in cloud computing and microservices.,"Hi, I'm a tech enthusiast working on innovative solutions.","['Kubernetes', 'Microservices Architecture', 'Leadership', 'Azure', 'Power BI', 'API Development', 'Creativity', 'Blockchain', 'JavaScript', 'Docker']",Male,3.784957686,"{""linkedin"": ""https://linkedin.com/in/steven_pitts""}"
b99bf936-0ed5-47d4-bcee-17e035dcc83f,tina,hernandez,tina.hernandez@gmail.com,$2b$10$FZ5SXhZNYz6Ln4LENWDRyesNV/g8L37VR5CjFORnXFjXOMw9Fzuae,12/02/2025 3:37,TRUE,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJiOTliZjkzNi0wZWQ1LTQ3ZDQtYmNlZS0xN2UwMzVkY2M4M2YiLCJlbWFpbCI6InRpbmEuaGVybmFuZGV6QGdtYWlsLmNvbSIsInJvbGUiOiJFbmdpbmVlciIsImV4cCI6MTc0Njg2NDA3Nn0.TngjBIaaGFJxxZhsN2nZd54_JNAojWkvU7RD-VDRGHzXBrtr4f0SQVBbHSXKT0DRYKSlcjRcdKdW673_IYY25YCAGVhZCy4sxF3sjxRiRwsnJTTApzA5PFiu6tRN5Qxcdq30siAgCTa1l1jHOTejv3QVG-xikAex8Jl4kbgFrsD5IBZ1rV47vqJ-Xz-fXosat6JpjhDDh9BUu6G3hCtmXg4YEU3euoc72jhSCyn45Ieq4DmjIuLpGQh8gN_wDYlC5m6aculXnerlRekxkd2NSA7i3YZ5qgBV79Z4ceRzBcFpOSgVYKCDj7kdqKuFBQLF_IZ6sZn-p8jfNi2EhLAYvw,,,,,,LOCAL,Engineer,UK,England,London,+44 20 7946 0123,26/10/1986,The University of Sheffield,MASTERS,Cyber Security,Cyber Security,D,2009,2012,Cyber Security,Microservices,15,Passionate software engineer with expertise in cloud computing and microservices.,"Hi, I'm a tech enthusiast working on innovative solutions.","['JIRA', 'Big Data Analytics', 'Frontend Design', 'Project Management', 'SQL', 'Web Development', 'ETL Processes', 'Data Visualization', 'Agile Methodologies', 'Penetration Testing Tools']",Male,77.57381334,"{""linkedin"": ""https://linkedin.com/in/tina_hernandez""}"
6255114b-52ba-4946-a512-2e08953682a0,craig,thompson,craig.thompson@gmail.com,$2b$10$FZ5SXhZNYz6Ln4LENWDRyesNV/g8L37VR5CjFORnXFjXOMw9Fzuae,06/04/2025 12:58,TRUE,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI2MjU1MTE0Yi01MmJhLTQ5NDYtYTUxMi0yZTA4OTUzNjgyYTAiLCJlbWFpbCI6ImNyYWlnLnRob21wc29uQGdtYWlsLmNvbSIsInJvbGUiOiJFbmdpbmVlciIsImV4cCI6MTc0Njg2NDA3Nn0.GMQ3mil47Rl5wDpgVqaZ93tzf-03JXTbn0ln9k4e9MMwV50Xgsk2uyz_oLVYDvdmMiezS-yhniNTCqp7N6r_fqjLPeLfyQyIkNUKk-g6DYAMk0ppQCi2Z4MWKFiUxokeYRjtDOFHctfd11FvOEYL9yYq1Tcg6QkiGRGVlyOFuB0BJGA_74wJarnqHlXbjk2POTkSuxu0-J_orw25JcuwxoDDSgNI9BDYn9OQxW3m6cQoTjSxNBhIyriuczJbxWSKaAjbmWAlqqyPeF6bJ1rUJQw_qCHwPTuEuL4Ja-lo1KhXhDI_yig5dQwxMCiNsZ9FU-gQlTyAYN2OU8oKTDvz8w,,,,,,LOCAL,Engineer,India,Delhi,New Delhi,+91 98765 43210,04/01/1981,Università di Padova,MASTERS,Data Science,Data Science,A-,2009,2012,Data Science,Metrics & Alerts,7,Passionate software engineer with expertise in cloud computing and microservices.,"Hi, I'm a tech enthusiast working on innovative solutions.","['Client Communication', 'SQL', 'Cloud Computing', 'Blockchain', 'Data Visualization', 'Cryptography', 'Tableau', 'Negotiation', 'Adaptability', 'Leadership', 'System Administration']",Male,2.703105955,"{""linkedin"": ""https://linkedin.com/in/craig_thompson""}"
0d03d73d-d666-4f0d-b7ac-a9c0aa1cf818,daniel,cook,daniel.cook@gmail.com,$2b$10$FZ5SXhZNYz6Ln4LENWDRyesNV/g8L37VR5CjFORnXFjXOMw9Fzuae,22/01/2025 2:44,TRUE,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiIwZDAzZDczZC1kNjY2LTRmMGQtYjdhYy1hOWMwYWExY2Y4MTgiLCJlbWFpbCI6ImRhbmllbC5jb29rQGdtYWlsLmNvbSIsInJvbGUiOiJFbmdpbmVlciIsImV4cCI6MTc0Njg2NDA3Nn0.kVf4Zpejt0sgBdzBcxs0j96qQwcAUOnoktjL7-iViuu0GlXk9DD_zg_hX-MsdlEcVMz0PxfsuYIZa7mzXrAAaavi0dNseJaoaSdjndOj8KFCgL7mwMrra3YfpyDy2B82hc0b2FmyhAv9ao09E8C2pU1_EflWFvK8nf2Um0uYuQDHUa8YLus_Zvx44TbmA-O_NjhGfZVZiWZHMrw-jMbFMARa-OBY_Z3Kykw5nMFJSW4GbC7L7_c4VflnIUY-JMXubQJ55CkgSbUJ10pP72fc1K24P1Vkp8pxoX8bpqcLsABUenA_t9O3kQuXErhrQ47yzp9l3VUWeGGsgEBXhJL48Q,,,,,,LOCAL,Engineer,Germany,Bavaria,Munich,+49 160 7654321,25/03/1996,University of Nottingham,CERTIFICATION,Cyber Security,Cyber Security,B+,2017,2020,Cyber Security,File System,10,Passionate software engineer with expertise in cloud computing and microservices.,"Hi, I'm a tech enthusiast working on innovative solutions.","['Database Administration', 'Communication', 'Critical Thinking', 'Linux Administration', 'Team Collaboration', 'API Development', 'AWS', 'Automation Testing', 'C#', 'Client Communication', 'Incident Response']",Female,3.252399425,"{""linkedin"": ""https://linkedin.com/in/daniel_cook""}"
7abb1635-793f-4cdf-a3f6-10e239730af3,stephanie,green,stephanie.green@gmail.com,$2b$10$FZ5SXhZNYz6Ln4LENWDRyesNV/g8L37VR5CjFORnXFjXOMw9Fzuae,04/02/2025 16:07,TRUE,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI3YWJiMTYzNS03OTNmLTRjZGYtYTNmNi0xMGUyMzk3MzBhZjMiLCJlbWFpbCI6InN0ZXBoYW5pZS5ncmVlbkBnbWFpbC5jb20iLCJyb2xlIjoiRW5naW5lZXIiLCJleHAiOjE3NDY4NjQwNzZ9.FF7Ltx346mVPeVK9bmWWbkvDX75uBQ-alV4eZ2b9umVcs0xUV9hY2Dpx5fAK-ZXZoRBfMxdaSmhusiSJxzy4GYOmn31FsbX9tZIsxKkx-Y4ad5zXgCUP74yUuW_c4Jz2Py87YAWWRHfm7AYFtMAux6OZy3Fq8olfWD98N7e2AYWhy6LlF-_sT7fglRNnGAutoA0N_J092JiRMDAcIgMGjIjSxv_qR3qoG5nBEGzzpsjY2RW8t6gL-fhK6EJc_EIxGLJGHPqce8gNbu8-TyoHm9NGB2c5yr4FznhDCPFRsrTahitxgGxR6cG4ihZL8jeEKTlhe9mDi66tuPuHbg0o4A,,,,,,LOCAL,Engineer,USA,New York,Buffalo,+1 312-876-5432,29/09/1999,Bauman Moscow State Technical University,MASTERS,Information Technology,Information Technology,B+,2011,2014,Information Technology,Backend,7,Passionate software engineer with expertise in cloud computing and microservices.,"Hi, I'm a tech enthusiast working on innovative solutions.","['Penetration Testing', 'Tableau', 'Google Cloud Platform', 'System Administration', 'SQL', 'Network Security', 'Client Communication', 'Mentorship', 'Agile Methodologies', 'ETL Processes', 'API Development', 'Docker', 'C#', 'Time Management']",Male,3.338217126,"{""linkedin"": ""https://linkedin.com/in/stephanie_green""}"
e49a319b-db64-45e2-b136-bd43bf48f962,gerald,williams,gerald.williams@gmail.com,$2b$10$FZ5SXhZNYz6Ln4LENWDRyesNV/g8L37VR5CjFORnXFjXOMw9Fzuae,05/03/2025 23:40,TRUE,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJlNDlhMzE5Yi1kYjY0LTQ1ZTItYjEzNi1iZDQzYmY0OGY5NjIiLCJlbWFpbCI6ImdlcmFsZC53aWxsaWFtc0BnbWFpbC5jb20iLCJyb2xlIjoiRW5naW5lZXIiLCJleHAiOjE3NDY4NjQwNzZ9.hwNE77BmGVYC_8uxP5gLxvAlrBlqkGuT-Rgje3tLS9MR7wisacflb3G4asm-eNqlEJ6wPGONUG4I4wuJDWsQTmSmwiU0xicjN8W4AJ2NNT2AopL8hn3t-4aGbpb5Xx2cX-yxZgO_eQWHhZRE99AO8lqkqEBj72HqdEIG3gzMPrMaICj5CCP0m_DxPuLKbMPvHwti8tVsz1kR9hXa5pqaNRh2G5Zv-8UHgzxhT12K1BKCsenOn9BVPHbCMonGHB9ncwLq8Bk1G35BkP-OhME-KKYG9TznDJWdE8eKhQ_K15oYMbif5pJozxwZBSjpvCDUtlApMl_y671Jk-UIs61L9Q,,,,,,LOCAL,Engineer,UK,Wales,Cardiff,+44 161 123 4567,20/03/1992,Northeastern University,BACHELORS,Data Science,Data Science,C,2017,2020,Data Science,Unit Testing,18,Passionate software engineer with expertise in cloud computing and microservices.,"Hi, I'm a tech enthusiast working on innovative solutions.","['System Administration', 'Power BI', 'Blockchain', 'Cloud Security', 'Cybersecurity', 'Adaptability', 'Microservices Architecture', 'Cloud Computing', 'Project Management', 'Incident Response']",Male,2.774421293,"{""linkedin"": ""https://linkedin.com/in/gerald_williams""}"
